Column1,Age,SkinType,SkinTone,SkinConcerns,Gender,Race,Climate,Extracts,All_Age_Suitable_Ing,Anti-Acne Moisturizer,Antioxidant+Anti-Aging Moisturizer,F_Skin_ID+Soothing,M_Antioxidant+Occlusive,EA_Anti_Age+Skin_ID+Cell_Commute,IA_Antioxidant,YA_Occusive,BR_Anti_Acne,WR_Skin_ID+Occusive,DRY_Dry,TROPICAL_Antioxidant+Humectant,TEMPERATE_Humectant,CONTINENAL_Emolient,POLAR_Humectants+Occlusive+Emollients
12,18-24,Combination,Medium,Acne,Female,White,Temperate,Aloe Barbadensis Leaf Extract,"Raspberry Seed Oil , Triticum Vulgare Germ Oil , Grape seed Oil","Beta-Glucan , Jojoba Esters , Aloe Barbadensis Leaf Extract",,"urea , globularia cordifolia callus culture extract , ananas sativus fruit extract , hamamelis virginiana water , ceramide , tilia cordata wood extract",,,,"Triticum Vulgare Germ Oil , Hyaluronic Acid , Grape seed Oil",,"histidine , linolenic acid , ceramide",,,"Phospholipids , Honey , Panthenol",,
13,18-24,Combination,Medium,Acne,Female,White,Continental,Aloe Barbadensis Leaf Extract,"Triticum Vulgare Germ Oil , Rose Hip Oil , Camellia Sinensis Seed Oil","Aloe Barbadensis Leaf Extract , Alteromonas Ferment Filtrate , Adansonia Digitata Pulp Extract",,"achillea millefolium oil , camellia sinensis leaf extract , spiraea ulmaria extract , bioflavonoids , epigallocatechin gallate , ethyl vanillin",,,,"Algae Extract , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Aphanizomenon Flos-Aquae Extract",,"hyaluronic acid , serine , alanine",,,,"Triethylhexanoin , Threonine , Isopentyldiol ",
14,18-24,Combination,Medium,Acne,Female,White,Polar,Aloe Barbadensis Leaf Extract,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Grape seed Oil","Hyaluronic Acid , Jojoba Esters , Ananas Sativus Fruit Extract",,"scutellaria baicalensis root extract , melaleuca alternifolia leaf oil , urea , epigallocatechin gallatyl glucoside , pseudoalteromonas ferment extract , rubus idaeus fruit extract",,,,"Hyaluronic Acid , Tocopheryl Succinate Aminopropanediol Esters , Triticum Vulgare Germ Oil",,"glycine , Trilaurin , ceramide eop",,,,,"PCA , Proline , Urea"
15,18-24,Combination,Medium,Acne,Female,Black,Tropical,Aloe Barbadensis Leaf Extract,"Triticum Vulgare Germ Oil , Rose Hip Oil , Raspberry Seed Oil","Alteromonas Ferment Filtrate , Hyaluronic Acid , Hydrolyzed Collagen",,"lactobacillus ferment , rumex occidentalis extract , rosmarinic acid , tetrahydrodiferuloylmethane , hydroxyphenyl propamidobenzoic acid , cholesterol",,,,"Hyaluronic Acid , Honey , Aphanizomenon Flos-Aquae Extract","Rose Hip Oil , Grape seed Oil , Algae Extract",,,"Hydroxyacetophenone , Serine , Arginine",,,
16,18-24,Combination,Medium,Acne,Female,Black,Dry,Aloe Barbadensis Leaf Extract,"Raspberry Seed Oil , Grape seed Oil , Rose Hip Oil","Hydrolyzed Collagen , Beta-Glucan , Soy Amino Acids",,"histidine , laminaria saccharina extract , salicylic acid , urtica dioica leaf extract , aloe barbadensis leaf juice , scutellaria baicalensis root extract",,,,"Grape seed Oil , Aphanizomenon Flos-Aquae Extract , Honey","Tocopheryl Succinate Aminopropanediol Esters , Rose Hip Oil , Honey",,"Squalane , Sodium PCA , Rose Hip Oil",,,,
17,18-24,Combination,Medium,Acne,Female,Black,Temperate,Aloe Barbadensis Leaf Extract,"Triticum Vulgare Germ Oil , Grape seed Oil , Rose Hip Oil","Jojoba Esters , Soy Amino Acids , Hydrolyzed Collagen",,"sodium nitrate , hamamelis virginiana bark/leaf/twig extract , acetyl glucosamine , juglans regia leaf extract , malva sylvestris extract , persea gratissima oil unsaponifiables",,,,"Grape seed Oil , Hyaluronic Acid , Hydrolyzed Tremella Fuciformis Sporocarp Extract","Honey , Acetyl Hydroxyproline , Aphanizomenon Flos-Aquae Extract",,,,"Glycine , Glucose , PEG-75",,
18,18-24,Combination,Medium,Acne,Female,Black,Continental,Aloe Barbadensis Leaf Extract,"Triticum Vulgare Germ Oil , Grape seed Oil , Rose Hip Oil","Hydrolyzed Collagen , Aphanizomenon Flos-Aquae Extract , Aloe Barbadensis Leaf Extract",,"caffeyl glucoside , madecassoside , melaleuca alternifolia leaf oil , helichrysum italicum extract , vaccinium angustifolium fruit extract , pseudoalteromonas ferment extract",,,,"Ananas Sativus Fruit Extract , Tocopheryl Succinate Aminopropanediol Esters , Alpha-Glucan","Grape seed Oil , Triticum Vulgare Germ Oil , Aphanizomenon Flos-Aquae Extract",,,,,"PEG-33 , Glucomannan , Triethylhexanoin",
19,18-24,Combination,Medium,Acne,Female,Black,Polar,Aloe Barbadensis Leaf Extract,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Grape seed Oil","Aloe Barbadensis Leaf Extract , Aphanizomenon Flos-Aquae Extract , Adansonia Digitata Pulp Extract",,"tilia cordata extract , beta-glucan , safflower oil/palm oil aminopropanediol esters , allantoin , glycyrrhiza glabra  root extract , passiflora quadrangularis flower extract",,,,"Honey , Hyaluronic Acid , Triticum Vulgare Germ Oil","Algae Extract , Alpha-Glucan , Rose Hip Oil",,,,,,"Arginine , Anhydroxylitol , PEG-8"
20,18-24,Combination,Medium,Acne,Male,White,Tropical,Colloidal Oatmeal,"Triticum Vulgare Germ Oil , Rose Hip Oil , Camellia Sinensis Seed Oil","Hyaluronic Acid , Aloe Barbadensis Leaf Extract , Beta-Glucan",,,"Azulene , Hydroxyacetophenone , Hesperidin , Glabridin , Triethylhexanoin , Squalene",,,"Grape seed Oil , Acetyl Hydroxyproline , Algae Extract",,"Trimethylsiloxysilicate , pca , histidine",,"Hydroxyacetophenone , Serine , Threonine",,,
21,18-24,Combination,Medium,Acne,Male,White,Dry,Colloidal Oatmeal,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Grape seed Oil","Alteromonas Ferment Filtrate , Centella Asiatica Extract , Hydrolyzed Collagen",,,"Kaolin , Beta-Glucan , Rutin , Hydroxyacetophenone , Petrolatum , Phenylalanine",,,"Triticum Vulgare Germ Oil , Grape seed Oil , Aphanizomenon Flos-Aquae Extract",,"Silica , ceramide , sodium pca","Honey Extract , Glucomannan , Xylitol",,,,
22,18-24,Combination,Medium,Acne,Male,White,Temperate,Colloidal Oatmeal,"Triticum Vulgare Germ Oil , Grape seed Oil , Raspberry Seed Oil","Hydrolyzed Collagen , Alteromonas Ferment Filtrate , Hyaluronic Acid",,,"Rutin , Caffeine , Tocopherol , Kaolin , Madecassoside , Bakuchiol",,,"Camellia Sinensis Seed Oil , Tocopheryl Succinate Aminopropanediol Esters , Squalane",,"ceramide np , sodium chondroitin sulfate , phenylalanine",,,"Niacinamide , PEG-32 , Fructose",,
23,18-24,Combination,Medium,Acne,Male,White,Continental,Colloidal Oatmeal,"Raspberry Seed Oil , Rose Hip Oil , Triticum Vulgare Germ Oil","Hydrolyzed Collagen , Honey , Beta-Glucan",,,"Ubiquinone , Zinc , Trihydroxystearin , Astaxanthin , Quercetin , Azulene",,,"Camellia Sinensis Seed Oil , Squalane , Grape seed Oil",,"linoleic acid , linolenic acid , Kaolin",,,,"Niacinamide , Glycogen , Xylitylglucoside",
24,18-24,Combination,Medium,Acne,Male,White,Polar,Colloidal Oatmeal,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Grape seed Oil","Ananas Sativus Fruit Extract , Soy Amino Acids , Alteromonas Ferment Filtrate",,,"Azulene , Tocopherol , Phenylalanine , Quercetin , Threonine , Resveratrol",,,"Triticum Vulgare Germ Oil , Rose Hip Oil , Ananas Sativus Fruit Extract",,"phytosphingosine , collagen amino acids , histidine",,,,,"Mannitol , Isopentyldiol  , Glucomannan"
25,18-24,Combination,Medium,Acne,Male,Black,Tropical,Colloidal Oatmeal,"Triticum Vulgare Germ Oil , Rose Hip Oil , Camellia Sinensis Seed Oil","Alteromonas Ferment Filtrate , Ananas Sativus Fruit Extract , Adansonia Digitata Pulp Extract",,,"Caffeine , Silica , Astaxanthin , Serine , Cannabidiol , Tetrahydrodemethoxydiferuloylmethane",,,"Acetyl Hydroxyproline , Aphanizomenon Flos-Aquae Extract , Hyaluronic Acid","Honey , Tocopheryl Succinate Aminopropanediol Esters , Camellia Sinensis Seed Oil",,,"Phospholipids , Threonine , Thiotaurine",,,
26,18-24,Combination,Medium,Acne,Male,Black,Dry,Colloidal Oatmeal,"Camellia Sinensis Seed Oil , Triticum Vulgare Germ Oil , Grape seed Oil","Adansonia Digitata Pulp Extract , Beta-Glucan , Aloe Barbadensis Leaf Extract",,,"Tetrahydrodemethoxydiferuloylmethane , Zinc , Thiotaurine , Trihydroxystearin , Threonine , Octyldodecanol",,,"Grape seed Oil , Tocopheryl Succinate Aminopropanediol Esters , Rose Hip Oil","Hyaluronic Acid , Algae Extract , Honey",,"Sodium PCA , Panthenol , Ceramide",,,,
27,18-24,Combination,Medium,Acne,Male,Black,Temperate,Colloidal Oatmeal,"Triticum Vulgare Germ Oil , Rose Hip Oil , Camellia Sinensis Seed Oil","Aloe Barbadensis Leaf Extract , Adansonia Digitata Pulp Extract , Aphanizomenon Flos-Aquae Extract",,,"Honey , Galactoarabinan , Tocopherol , Oryzanol , Petrolatum , Phloretin",,,"Hyaluronic Acid , Grape seed Oil , Algae Extract","Ananas Sativus Fruit Extract , Algae Extract , Acetyl Hydroxyproline",,,,"Honey , Glycine , Niacinamide",,
28,18-24,Combination,Medium,Acne,Male,Black,Continental,Colloidal Oatmeal,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Triticum Vulgare Germ Oil","Honey , Centella Asiatica Extract , Soy Amino Acids",,,"Phloretin , Kaolin , Petrolatum , Trimethylsiloxysilicate , Alanine , Tetrahydrodiferuloylmethane",,,"Ananas Sativus Fruit Extract , Camellia Sinensis Seed Oil , Algae Extract","Honey , Rose Hip Oil , Algae Extract",,,,,"PEG-32 , Honey , Xylose",
29,18-24,Combination,Medium,Acne,Male,Black,Polar,Colloidal Oatmeal,"Camellia Sinensis Seed Oil , Rose Hip Oil , Grape seed Oil","Jojoba Esters , Hydrolyzed Collagen , Beta-Glucan",,,"Histidine , Thiotaurine , Retinol , Quercetin , Agar , Oryzanol",,,"Grape seed Oil , Camellia Sinensis Seed Oil , Tocopheryl Succinate Aminopropanediol Esters","Grape seed Oil , Algae Extract , Squalane",,,,,,"Trehalose , Glycerin , Triethylhexanoin"
30,18-24,Combination,Medium,Acne,Female,White,Tropical,Colloidal Oatmeal,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Rose Hip Oil","Ananas Sativus Fruit Extract , Honey , Beta-Glucan",,"curcuma longa root extract , aleurites moluccana seed oil , wheat amino acids , scrophularia nodosa extract , methyl nicotinate , squalane",,,,"Rose Hip Oil , Honey , Grape seed Oil",,"lacto-ceramides , phytosphingosine , Trimethylsiloxysilicate",,"Hydroxyacetophenone , Phospholipids , Thiotaurine",,,
31,18-24,Combination,Medium,Acne,Female,White,Dry,Colloidal Oatmeal,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Grape seed Oil","Ananas Sativus Fruit Extract , Colloidal Oatmeal , Beta-Glucan",,"squalane , opuntia ficus-indica stem extract , phenylalanine , palmitoyl tripeptide-8 , scutellaria galericulata extract , boswellia serrata extract",,,,"Ananas Sativus Fruit Extract , Grape seed Oil , Rose Hip Oil",,"glycine , Tribehenin , isoleucine","Hyaluronic Acid , Glucomannan , Rose Hip Oil",,,,
32,18-24,Combination,Medium,Acne,Female,White,Temperate,Colloidal Oatmeal,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Camellia Sinensis Seed Oil","Alteromonas Ferment Filtrate , Aphanizomenon Flos-Aquae Extract , Centella Asiatica Extract",,"opuntia ficus-indica extract , sodium hyaluronate crosspolymer , calophyllum tacamahaca oil , hydroxymethoxyphenyl decanone , palmitoyl tripeptide-8 , rosmarinic acid",,,,"Camellia Sinensis Seed Oil , Honey , Ananas Sativus Fruit Extract",,"Bentonite , histidine , aspartic acid",,,"Isopentyldiol  , Phospholipids , Isopentyldiol ",,
33,18-24,Combination,Medium,Acne,Female,White,Continental,Colloidal Oatmeal,"Camellia Sinensis Seed Oil , Rose Hip Oil , Raspberry Seed Oil","Beta-Glucan , Aloe Barbadensis Leaf Extract , Colloidal Oatmeal",,"jasminum officinale flower/leaf extract , cymbopogon schoenanthus extract , parietaria officinalis extract , avena sativa kernel extract , cucumis melo juice , phenylalanine",,,,"Ananas Sativus Fruit Extract , Alpha-Glucan , Ceramide",,"Trilaurin , sodium hyaluronate crosspolymer , lacto-ceramides",,,,"Betaine , Anhydroxylitol , Mannitol",
34,18-24,Combination,Medium,Acne,Female,White,Polar,Colloidal Oatmeal,"Camellia Sinensis Seed Oil , Triticum Vulgare Germ Oil , Rose Hip Oil","Aloe Barbadensis Leaf Extract , Hydrolyzed Collagen , Hyaluronic Acid",,"hamamelis virginiana  leaf extract , portulaca oleracea extract , aspartic acid , salicylic acid , mimosa tenuiflora bark extract , globularia cordifolia callus culture extract",,,,"Triticum Vulgare Germ Oil , Squalane , Tocopheryl Succinate Aminopropanediol Esters",,"glycerin , diglycerin , phenylalanine",,,,,"Phytantriol , Thiotaurine , Anhydroxylitol"
35,18-24,Combination,Medium,Acne,Female,Black,Tropical,Colloidal Oatmeal,"Raspberry Seed Oil , Rose Hip Oil , Triticum Vulgare Germ Oil","Colloidal Oatmeal , Hyaluronic Acid , Ananas Sativus Fruit Extract",,"coptis japonica root extract , sodium pca , leontopodium alpinum callus culture extract , phragmites kharka extract , juglans regia leaf extract , zinc picolinate",,,,"Camellia Sinensis Seed Oil , Algae Extract , Grape seed Oil","Acetyl Hydroxyproline , Ceramide , Tocopheryl Succinate Aminopropanediol Esters",,,"Phospholipids , Arginine , Threonine",,,
36,18-24,Combination,Medium,Acne,Female,Black,Dry,Colloidal Oatmeal,"Raspberry Seed Oil , Grape seed Oil , Camellia Sinensis Seed Oil","Adansonia Digitata Pulp Extract , Alteromonas Ferment Filtrate , Ananas Sativus Fruit Extract",,"rubia tinctorum root extract , persea gratissima oil unsaponifiables , cucumis melo juice , azulene , helianthus annuus extract , sanicula europaea extract",,,,"Rose Hip Oil , Ananas Sativus Fruit Extract , Honey","Hyaluronic Acid , Alpha-Glucan , Hydrolyzed Tremella Fuciformis Sporocarp Extract",,"Squalane , Honey , Camellia Sinensis Seed Oil",,,,
37,18-24,Combination,Medium,Acne,Female,Black,Temperate,Colloidal Oatmeal,"Camellia Sinensis Seed Oil , Rose Hip Oil , Grape seed Oil","Adansonia Digitata Pulp Extract , Soy Amino Acids , Hyaluronic Acid",,"cholesterol , panthenol , santalum album extract , isoleucine , zinc chloride , zinc gluconate",,,,"Honey , Camellia Sinensis Seed Oil , Rose Hip Oil","Honey , Acetyl Hydroxyproline , Aphanizomenon Flos-Aquae Extract",,,,"Glycogen , Arginine , PCA",,
38,18-24,Combination,Medium,Acne,Female,Black,Continental,Colloidal Oatmeal,"Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil , Raspberry Seed Oil","Hyaluronic Acid , Jojoba Esters , Centella Asiatica Extract",,"rosmarinic acid , palmitic acid , melissa officinalis flower/leaf/stem extract , achillea millefolium oil , histidine , hedera helix leaf/stem extract",,,,"Algae Extract , Squalane , Honey","Acetyl Hydroxyproline , Triticum Vulgare Germ Oil , Grape seed Oil",,,,,"Xylitylglucoside , Isopentyldiol  , Inositol",
39,18-24,Combination,Medium,Acne,Female,Black,Polar,Colloidal Oatmeal,"Camellia Sinensis Seed Oil , Grape seed Oil , Rose Hip Oil","Beta-Glucan , Centella Asiatica Extract , Colloidal Oatmeal",,"berberis vulgaris root extract , disodium lauriminodipropionate tocopheryl phosphates , portulaca oleracea extract , sanicula europaea extract , colloidal oatmeal , hamamelis virginiana extract",,,,"Tocopheryl Succinate Aminopropanediol Esters , Algae Extract , Ananas Sativus Fruit Extract","Algae Extract , Alpha-Glucan , Rose Hip Oil",,,,,,"Trimethylsiloxysilicate , Trimethylsiloxysilicate , Panthenol"
40,18-24,Combination,Medium,Acne,Male,White,Tropical,Hydrolyzed Collagen,"Triticum Vulgare Germ Oil , Grape seed Oil , Rose Hip Oil","Colloidal Oatmeal , Hyaluronic Acid , Alteromonas Ferment Filtrate",,,"Trimethylsiloxysilicate , Octyldodecanol , Triethylhexanoin , Kaolin , Glabridin , Caffeine",,,"Triticum Vulgare Germ Oil , Tocopheryl Succinate Aminopropanediol Esters , Ceramide",,"urea , sodium chondroitin sulfate , hydroxypalmitoyl sphinganine",,"Niacinamide , Hydroxyacetophenone , Serine",,,
41,18-24,Combination,Medium,Acne,Male,White,Dry,Hydrolyzed Collagen,"Triticum Vulgare Germ Oil , Rose Hip Oil , Raspberry Seed Oil","Hyaluronic Acid , Jojoba Esters , Centella Asiatica Extract",,,"Alanine , Retinol , Tocopherol , Azulene , Algin , Equol",,,"Algae Extract , Ceramide , Aphanizomenon Flos-Aquae Extract",,"Octyldodecanol , acetyl glucosamine , squalene","Glucomannan , Raspberry Seed Oil , Xylitol",,,,
42,18-24,Combination,Medium,Acne,Male,White,Temperate,Hydrolyzed Collagen,"Raspberry Seed Oil , Grape seed Oil , Triticum Vulgare Germ Oil","Beta-Glucan , Hydrolyzed Collagen , Jojoba Esters",,,"Xanthophyll , Retinol , Honey , Silica , Equol , Galactoarabinan",,,"Grape seed Oil , Tocopheryl Succinate Aminopropanediol Esters , Rose Hip Oil",,"valine , diglycerin , proline",,,"Glycerin , PEG-32 , Glycogen",,
43,18-24,Combination,Medium,Acne,Male,White,Continental,Hydrolyzed Collagen,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Grape seed Oil","Centella Asiatica Extract , Hydrolyzed Collagen , Soy Amino Acids",,,"Bakuchiol , Trihydroxystearin , Hesperidin , Resveratrol , Petrolatum , Curcumin",,,"Algae Extract , Camellia Sinensis Seed Oil , Hydrolyzed Tremella Fuciformis Sporocarp Extract",,"serine , palmitic acid , valine",,,,"Thiotaurine , Melibiose , Xylitol",
44,18-24,Combination,Medium,Acne,Male,White,Polar,Hydrolyzed Collagen,"Triticum Vulgare Germ Oil , Raspberry Seed Oil , Camellia Sinensis Seed Oil","Jojoba Esters , Aloe Barbadensis Leaf Extract , Alteromonas Ferment Filtrate",,,"Curcumin , Trihydroxystearin , Retinol , Zinc , Petrolatum , Threonine",,,"Camellia Sinensis Seed Oil , Squalane , Ananas Sativus Fruit Extract",,"Trilaurin , alanine , sodium pca",,,,,"Tribehenin , PEG-32 , Urea"
45,18-24,Combination,Medium,Acne,Male,Black,Tropical,Hydrolyzed Collagen,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Triticum Vulgare Germ Oil","Adansonia Digitata Pulp Extract , Soy Amino Acids , Aloe Barbadensis Leaf Extract",,,"Silica , Alanine , Tetrahydrodiferuloylmethane , Squalane , Glabridin , Ergothioneine",,,"Ananas Sativus Fruit Extract , Grape seed Oil , Ceramide","Rose Hip Oil , Acetyl Hydroxyproline , Aphanizomenon Flos-Aquae Extract",,,"Honey , Thiotaurine , Niacinamide",,,
46,18-24,Combination,Medium,Acne,Male,Black,Dry,Hydrolyzed Collagen,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Grape seed Oil","Aloe Barbadensis Leaf Extract , Adansonia Digitata Pulp Extract , Hyaluronic Acid",,,"Lycopene , Silica , Hesperidin , Glabridin , Agar , Arginine",,,"Acetyl Hydroxyproline , Ananas Sativus Fruit Extract , Honey","Hyaluronic Acid , Grape seed Oil , Camellia Sinensis Seed Oil",,"Grape seed Oil , Hyaluronic Acid , Squalane",,,,
47,18-24,Combination,Medium,Acne,Male,Black,Temperate,Hydrolyzed Collagen,"Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil , Rose Hip Oil","Hydrolyzed Collagen , Alteromonas Ferment Filtrate , Beta-Glucan",,,"Squalene , Silica , Genistein , Squalane , Lycopene , Madecassoside",,,"Hyaluronic Acid , Honey , Tocopheryl Succinate Aminopropanediol Esters","Acetyl Hydroxyproline , Honey , Tocopheryl Succinate Aminopropanediol Esters",,,,"Glucomannan , PEG-32 , Isopentyldiol ",,
